Download,Download
Back,Back
Delete,Delete
"Are you sure you want to do this?","Are you sure you want to do this?"
"Export Submissions(' . . ')","Export Submissions(' . . ')"
Save,Save
"Save & New","Save & New"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
View,View
Action,Action
ID,ID
"Customer Name","Customer Name"
"Customer Email","Customer Email"
Store,Store
CSV,CSV
"Excel XML","Excel XML"
"URL Key","URL Key"
Name,Name
Status,Status
Disabled,Disabled
Enabled,Enabled
"Mark as unread","Mark as unread"
Edit,Edit
"Are you sure you want to send an email to admin?","Are you sure you want to send an email to admin?"
"Send Admin Email","Send Admin Email"
"Are you sure you want to send an email to customer?","Are you sure you want to send an email to customer?"
"Send Customer Email","Send Customer Email"
"Sender Name","Sender Name"
"Sender Email","Sender Email"
"Reply To","Reply To"
"Send Email(s) To","Send Email(s) To"
BBC,BBC
"Email Subject","Email Subject"
"Email Body","Email Body"
"Admin Notification","Admin Notification"
"Trackback Page","Trackback Page"
No,No
Yes,Yes
"Trackback Link","Trackback Link"
"More Informations","More Informations"
"Customer Notification","Customer Notification"
Form,Form
Customer,Customer
Email,Email
Product,Product
Referer,Referer
"Store View","Store View"
"Created At","Created At"
"IP Address","IP Address"
"User Agent","User Agent"
"Submission Data","Submission Data"
Advanced,Advanced
"Add New Form","Add New Form"
"Manage Forms","Manage Forms"
Plugins,Plugins
"File Uploads","File Uploads"
Settings,Settings
"Form Submissions","Form Submissions"
"User Guide","User Guide"
"Change Log","Change Log"
"Get Support","Get Support"
"Max file size: %1 KB","Max file size: %1 KB"
"Min file size: %1 KB","Min file size: %1 KB"
"Allow file types: %1","Allow file types: %1"
"Max number of files: %1","Max number of files: %1"
"Min number of files: %1","Min number of files: %1"
"Submission Confirmed","Submission Confirmed"
"A total of %1 file(s) have been deleted.","A total of %1 file(s) have been deleted."
"Something went wrong while saving the form.","Something went wrong while saving the form."
"The form has been deleted.","The form has been deleted."
"We can't find a form to delete.","We can't find a form to delete."
"Blue Form Builder","Blue Form Builder"
"This form no longer exists.","This form no longer exists."
"Edit Form","Edit Form"
"New Form","New Form"
Forms,Forms
"Blue Form Builder Forms","Blue Form Builder Forms"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"You saved the form.","You saved the form."
"You duplicated the form","You duplicated the form"
"This submission no longer exists.","This submission no longer exists."
"You sent the email to admin.","You sent the email to admin."
"We can't send the email right now.","We can't send the email right now."
"You deleted the submission.","You deleted the submission."
"We can't find a submission to delete.","We can't find a submission to delete."
"Manage Submissions","Manage Submissions"
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"You saved the submission.","You saved the submission."
"Something went wrong while saving the submission.","Something went wrong while saving the submission."
"Something went wrong while getting the requested content.","Something went wrong while getting the requested content."
"We can't find the file you requested.","We can't find the file you requested."
"Not Logged In","Not Logged In"
"An error occurred while processing your form. Please try again later.","An error occurred while processing your form. Please try again later."
"Incorrect CAPTCHA.","Incorrect CAPTCHA."
"This element no longer exists.","This element no longer exists."
"Files bigger than %1 KB not allowed","Files bigger than %1 KB not allowed"
"Files smaller than %1 KB not allowed","Files smaller than %1 KB not allowed"
"Something went wrong while uploading the file.","Something went wrong while uploading the file."
"Something went wrong while processing.","Something went wrong while processing."
"The submission has beend updated.","The submission has beend updated."
Appearance,Appearance
Label,Label
"Email Label","Email Label"
"Label Position","Label Position"
"Label Alignment","Label Alignment"
"Label Width(percent)","Label Width(percent)"
"Control Width","Control Width"
"Enter ""auto"" to display default control width","Enter ""auto"" to display default control width"
"Element Name","Element Name"
"Make sure it is unique.","Make sure it is unique."
"Exclude from Email","Exclude from Email"
Description,Description
Tooltip,Tooltip
Icon,Icon
"Show Icon","Show Icon"
"Icon Color","Icon Color"
"Icon Position","Icon Position"
Left,Left
Right,Right
Center,Center
"Above Element","Above Element"
"Below Element","Below Element"
"Left of Element","Left of Element"
"Right of Element","Right of Element"
Hidden,Hidden
"Required Field","Required Field"
"Show Address1","Show Address1"
"Show Address2","Show Address2"
"Show City","Show City"
"Show State","Show State"
"Show Zip Code","Show Zip Code"
"Show Country","Show Country"
Options,Options
Value,Value
Classes,Classes
Image,Image
Default,Default
"Shuffle Options","Shuffle Options"
Auto,Auto
"Options Column","Options Column"
"Image Choice Style","Image Choice Style"
"Image Width","Image Width"
"Image Height","Image Height"
"Show Others Option","Show Others Option"
"Others Label","Others Label"
"Others Description","Others Description"
Modern,Modern
Classic,Classic
None,None
Columns,Columns
Title,Title
Rows,Rows
"Multiple Select","Multiple Select"
"Heading Color","Heading Color"
"Heading Background Color","Heading Background Color"
"Odd Rows Color","Odd Rows Color"
"Odd Rows Background Color","Odd Rows Background Color"
"Even Rows Color","Even Rows Color"
"Even Rows Background Color","Even Rows Background Color"
"Cell Boder Width","Cell Boder Width"
"Cell Border Style","Cell Border Style"
"Cell Border Color","Cell Border Color"
"Heading Cell Border Color","Heading Cell Border Color"
"Default Value","Default Value"
Placeholder,Placeholder
Validation,Validation
"Min Date","Min Date"
"Max Date","Max Date"
Language,Language
Format,Format
"Days Allowed","Days Allowed"
"Show Time","Show Time"
"Show Hour","Show Hour"
"Min Hour","Min Hour"
"Max Hour","Max Hour"
"Hour Step","Hour Step"
"Show Minute","Show Minute"
"Min Minute","Min Minute"
"Max Minute","Max Minute"
"Minute Step","Minute Step"
Autofocus,Autofocus
"When present, it specifies that the element should automatically get focus when the page loads.","When present, it specifies that the element should automatically get focus when the page loads."
