"Sort order","Sort order"
"Field Id","Field Id"
"Enabled","Enabled"
"Required","Required"
"Length","Length"
"25%","25%"
"50%","50%"
"75%","75%"
"100%","100%"
"Css class","Css class"
"Default value","Default value"
"Add Fields","Add Fields"
"label","label"
"'label ' .","'label ' ."
"Choose default payment method","Choose default payment method"
"%1 [%2]","%1 [%2]"
"No title [%1]","No title [%1]"
"You used coupon code ""%1"".","You used coupon code ""%1""."
"The coupon code ""%1"" is not valid.","The coupon code ""%1"" is not valid."
"You canceled the coupon code.","You canceled the coupon code."
"I have a different billing address","I have a different billing address"
"Edit","Edit"
"Save in address book","Save in address book"
"Billing Address","Billing Address"
"Order Comment","Order Comment"
"Place Order Now","Place Order"
"Ship here:","Ship here:"
"Add new shipping address","Add new shipping address"
"Add to address list","Add to address list"
"Apply","Apply"
"Payment Methods","Payment Methods"
"3","3"
"2","2"
"1","1"
"Please accept terms & conditions","Please accept terms & conditions"
"OneStepCheckout","OneStepCheckout"
"OneStepCheckout settings","OneStepCheckout settings"
"Version information","Version information"
"Enable OneStepCheckout","Enable OneStepCheckout"
"Serial key","Serial key"
"Shipping method defaults","Shipping method defaults"
"Select default shipping method","Select default shipping method"
"Select shipping method if only one available","Select shipping method if only one available"
"Select Free shipping method if available","Select Free shipping method if available"
"Hide shipping methods","Hide shipping methods"
"Payment method defaults","Payment method defaults"
"Default Payment Method","Default Payment Method"
"Hide payment method section","Hide payment method section"
"Hide non-free payment methods for zero value order","Hide non-free payment methods for zero value order"
"Billing address fields and settings","Billing address fields and settings"
"Billing Fields","Billing Fields"
"Enable different billing address","Enable different billing address"
"Hide/Close different billing address","Hide/Close different billing address"
"Shipping address fields and settings","Shipping address fields and settings"
"Shipping Fields","Shipping Fields"
"Explode address rows","Explode address rows"
"Maxmind GeoIP2 location detection","Maxmind GeoIP2 location detection"
"Enable GeoIP2 location detection","Enable GeoIP2 location detection"
"GeoIP2 database path","GeoIP2 database path"
"Trust Proxy IP address","Trust Proxy IP address"
"Registration modes","Registration modes"
"Show ""Sign in or register"" link","Show ""Sign in or register"" link"
"Show optional password field","Show optional password field"
"Register on success page","Register on success page"
"Auto-place orders on accounts","Auto-place orders on accounts"
"Automatically register new clients","Automatically register new clients"
"Discount code field","Discount code field"
"Enable discount field","Enable discount field"
"Customer comments field","Customer comments field"
"Enable comments ","Enable comments "



"Shopping Cart","Shopping Cart",module,Magento_Checkout
"Invalid method: %1","Invalid method: %1",module,Magento_Checkout
"City","City",module,Magento_Checkout
"Country","Country",module,Magento_Checkout
"State/Province","State/Province",module,Magento_Checkout
"Zip/Postal Code","Postcode",module,Magento_Checkout
"My Cart (1 item)","My Cart (1 item)",module,Magento_Checkout
"My Cart (%1 items)","My Cart (%1 items)",module,Magento_Checkout
"My Cart","My Cart",module,Magento_Checkout
"For delivery questions.","For delivery questions.",module,Magento_Checkout
"Customer is already registered","Customer is already registered",module,Magento_Checkout
"Your session has expired","Your session has expired",module,Magento_Checkout
"A letter with further instructions will be sent to your email.","A letter with further instructions will be sent to your email.",module,Magento_Checkout
"You used coupon code %1.","%1 is applied.",module,Magento_Checkout
"The coupon code %1 is not valid.","The coupon code %1 is not valid.",module,Magento_Checkout
"You canceled the coupon code.","You canceled the coupon code.",module,Magento_Checkout
"We cannot apply the coupon code.","We cannot apply the coupon code.",module,Magento_Checkout
"We can't remove the item.","We can't remove the item.",module,Magento_Checkout
"%1 was updated in your shopping cart.","%1 was updated in your shopping cart.",module,Magento_Checkout
"We can't update the item right now.","We can't update the item right now.",module,Magento_Checkout
"We can't update the shopping cart.","We can't update the shopping cart.",module,Magento_Checkout
"One-page checkout is turned off.","One-page checkout is turned off.",module,Magento_Checkout
"Guest checkout is disabled.","Guest checkout is disabled.",module,Magento_Checkout
"Checkout","Checkout",module,Magento_Checkout
"Page not found.","Page not found.",module,Magento_Checkout
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order.",module,Magento_Checkout
"Something went wrong while processing your order. Please try again later.","Something went wrong while processing your order. Please try again later.",module,Magento_Checkout
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface",module,Magento_Checkout
"Payment Method","Payment Method",module,Magento_Checkout
"Payment Page","Payment Page",module,Magento_Checkout
"We can't find the product.","We can't find the product.",module,Magento_Checkout
"We found an invalid request for adding product to quote.","We found an invalid request for adding product to quote.",module,Magento_Checkout
"The product does not exist.","The product does not exist.",module,Magento_Checkout
"We don't have some of the products you want.","We don't have some of the products you want.",module,Magento_Checkout
"We don't have as many of some products as you want.","We don't have as many of some products as you want.",module,Magento_Checkout
